the	{"determiner": ["cái", "con", "những"]}
mantra	{"noun": ["thần chú", "câu nói cửa miệng", "khẩu hiệu"]}
password	{"noun": ["mật khẩu"]}
aboriginal	{"adjective": ["bản địa", "thổ dân", "nguyên thủy"]}
cosmetics	{"noun": ["mỹ phẩm"]}
whim	{"noun": ["ý thích chợt nảy", "sự thất thường", "tính đồng bóng"]}
spotted	{"adjective": ["có đốm", "lốm đốm", "được phát hiện"]}
watchdog	{"noun": ["người giám sát", "tổ chức giám sát", "chó giữ nhà"]}
adjustable	{"adjective": ["có thể điều chỉnh", "linh hoạt", "dễ thay đổi"]}
pickle	{"noun": ["dưa muối", "tình huống khó khăn"], "verb": ["muối chua", "ngâm"]}
stationary	{"adjective": ["đứng yên", "cố định", "không di chuyển"]}
continual	{"adjective": ["liên tục", "không ngừng", "thường xuyên"]}
ridicule	{"verb": ["chế giễu", "nhạo báng", "cười nhạo"], "noun": ["sự chế giễu", "sự nhạo báng"]}
dj	{"noun": ["DJ", "người chỉnh nhạc"]}
denim	{"noun": ["vải denim", "đồ jean"]}
virgin	{"adjective": ["trinh nữ", "chưa sử dụng", "nguyên sơ"], "noun": ["trinh nữ", "người chưa có kinh nghiệm"]}
pitching	{"noun": ["sự ném", "sự dựng lều", "sự chào hàng"]}
rectangle	{"noun": ["hình chữ nhật"]}
op	{"noun": ["hoạt động", "ca phẫu thuật"]}
angular	{"adjective": ["góc cạnh", "gầy guộc", "khó xử"]}
imperfect	{"adjective": ["không hoàn hảo", "có khuyết điểm", "chưa hoàn thiện"]}
revert	{"verb": ["trở lại", "quay lại", "hoàn nguyên"]}
periphery	{"noun": ["ngoại vi", "vùng ven", "chu vi"]}
patronage	{"noun": ["sự bảo trợ", "sự ủng hộ", "khách hàng"]}
engaging	{"adjective": ["hấp dẫn", "lôi cuốn", "thú vị"]}
startled	{"adjective": ["giật mình", "hoảng hốt", "kinh ngạc"]}
clinician	{"noun": ["nhà lâm sàng", "bác sĩ lâm sàng"]}
bikini	{"noun": ["bikini"]}
hospitalize	{"verb": ["nhập viện", "đưa vào bệnh viện"]}
ringing	{"noun": ["tiếng chuông", "tiếng reo", "sự rung chuông"]}
comparatively	{"adverb": ["tương đối", "so sánh", "khá"]}
poisonous	{"adjective": ["độc", "có độc", "gây độc"]}
statesman	{"noun": ["chính khách", "nhà chính trị"]}
villa	{"noun": ["biệt thự"]}
marxist	{"adjective": ["thuộc chủ nghĩa Mác", "theo chủ nghĩa Mác"], "noun": ["người theo chủ nghĩa Mác"]}
stimulating	{"adjective": ["kích thích", "khuyến khích", "hứng thú"]}
two-hour	{"adjective": ["hai giờ", "kéo dài hai giờ"]}
zest	{"noun": ["sự hăng hái", "sự nhiệt tình", "vỏ cam chanh"]}
appointee	{"noun": ["người được bổ nhiệm", "người được chỉ định"]}
invaluable	{"adjective": ["vô giá", "rất quý giá", "cực kỳ quan trọng"]}
infusion	{"noun": ["sự truyền", "sự pha", "sự ngâm"]}
ulcer	{"noun": ["vết loét", "chỗ loét"]}
proactive	{"adjective": ["chủ động", "tích cực", "đi trước"]}
shampoo	{"noun": ["dầu gội"], "verb": ["gội đầu"]}
translucent	{"adjective": ["trong mờ", "bán trong suốt", "mờ đục"]}
brutally	{"adverb": ["tàn bạo", "dã man", "thô bạo"]}
triumphant	{"adjective": ["chiến thắng", "khải hoàn", "đắc thắng"]}
sensual	{"adjective": ["gợi cảm", "nhục dục", "thuộc giác quan"]}
fitting	{"adjective": ["thích hợp", "vừa vặn", "xứng đáng"], "noun": ["sự lắp ráp", "phụ kiện"]}
self-defense	{"noun": ["sự tự vệ", "phòng vệ"]}
hoof	{"noun": ["móng guốc"]}
chandelier	{"noun": ["đèn chùm"]}
contaminated	{"adjective": ["bị ô nhiễm", "bị nhiễm bẩn", "bị lây nhiễm"]}
halve	{"verb": ["chia đôi", "giảm một nửa"]}
coordinated	{"adjective": ["phối hợp", "hài hòa", "ăn ý"]}
approved	{"adjective": ["được chấp thuận", "được phê duyệt", "được thông qua"]}
concentrated	{"adjective": ["tập trung", "đậm đặc", "chuyên tâm"]}
unpaid	{"adjective": ["chưa thanh toán", "chưa trả", "không lương"]}
enthusiastically	{"adverb": ["nhiệt tình", "hăng hái", "say mê"]}
precarious	{"adjective": ["bấp bênh", "không chắc chắn", "nguy hiểm"]}
grassy	{"adjective": ["có cỏ", "xanh mướt", "như cỏ"]}
self-interest	{"noun": ["tư lợi", "ích kỷ", "lợi ích cá nhân"]}
mosaic	{"noun": ["khảm", "tranh khảm", "sự pha trộn"]}
winding	{"adjective": ["uốn khúc", "quanh co", "lòng vòng"]}
rosy	{"adjective": ["hồng hào", "tươi sáng", "lạc quan"]}
downstream	{"adverb": ["hạ lưu", "xuôi dòng"], "adjective": ["ở hạ lưu", "xuôi dòng"]}
shredded	{"adjective": ["xé nhỏ", "băm nhỏ", "thái sợi"]}
clam	{"noun": ["con trai", "con nghêu"]}
in-house	{"adjective": ["nội bộ", "trong công ty", "tại chỗ"]}
breathtaking	{"adjective": ["tuyệt đẹp", "hùng vĩ", "ngoạn mục"]}
passionately	{"adverb": ["một cách say mê", "đầy đam mê"]}
avalanche	{"noun": ["tuyết lở", "sự lở tuyết"], "verb": ["lở tuyết", "ập đến"]}
numerical	{"adjective": ["thuộc về số", "bằng số"]}
robotic	{"adjective": ["như rô-bốt", "máy móc"]}
squadron	{"noun": ["phi đội", "hạm đội"]}
festive	{"adjective": ["tưng bừng", "vui vẻ", "liên hoan"]}
coupon	{"noun": ["phiếu giảm giá", "mã giảm giá"]}
biker	{"noun": ["người đi xe đạp", "người đi xe máy"]}
ramification	{"noun": ["sự phân nhánh", "hậu quả", "tác động"]}
sluggish	{"adjective": ["chậm chạp", "uể oải", "lờ đờ"]}
grope	{"verb": ["mò mẫm", "sờ soạng", "tìm kiếm"]}
venerable	{"adjective": ["đáng kính", "đáng tôn trọng"]}
seventeenth	{"adjective": ["thứ mười bảy"], "noun": ["thứ mười bảy"]}
microbe	{"noun": ["vi trùng", "vi khuẩn"]}
repetitive	{"adjective": ["lặp đi lặp lại", "có tính lặp lại"]}
engaged	{"adjective": ["đã đính hôn", "bận", "tham gia"], "verb": ["tham gia", "thuê", "đính hôn"]}
baker	{"noun": ["thợ làm bánh"]}
footnote	{"noun": ["chú thích cuối trang"], "verb": ["chú thích cuối trang"]}
serene	{"adjective": ["thanh bình", "tĩnh lặng", "điềm tĩnh"]}
notation	{"noun": ["ký hiệu", "cách ghi", "hệ thống ký hiệu"]}
hungarian	{"adjective": ["thuộc về Hungary", "tiếng Hungary"], "noun": ["người Hungary", "tiếng Hungary"]}
sanitation	{"noun": ["vệ sinh", "hệ thống vệ sinh"]}
vector	{"noun": ["véc tơ", "hướng", "mầm bệnh"], "verb": ["định hướng", "dẫn hướng"]}
gust	{"noun": ["cơn gió mạnh", "luồng gió"], "verb": ["thổi mạnh", "bùng lên"]}
folding	{"adjective": ["có thể gấp lại"], "noun": ["sự gấp lại"], "verb": ["gấp lại"]}
fluffy	{"adjective": ["mềm mại", "xốp", "bồng bềnh"]}
stern	{"adjective": ["nghiêm khắc", "khắc nghiệt"], "noun": ["đuôi tàu"]}
pathology	{"noun": ["bệnh lý học", "bệnh học"]}
incompatible	{"adjective": ["không tương thích", "khắc nhau"]}
blurt	{"verb": ["thốt ra", "buột miệng"]}
vain	{"adjective": ["vô ích", "hão huyền", "kiêu ngạo"]}
vigil	{"noun": ["sự canh thức", "đêm canh thức"]}
suppression	{"noun": ["sự đàn áp", "sự kìm nén", "sự ngăn chặn"]}
orthodoxy	{"noun": ["chính thống", "tính chính thống"]}
nonviolent	{"adjective": ["bất bạo động", "không bạo lực"]}
stressor	{"noun": ["tác nhân gây căng thẳng", "yếu tố gây căng thẳng"]}
re-elect	{"verb": ["bầu lại", "tái bầu"]}
purchasing	{"noun": ["sự mua sắm", "việc mua hàng"], "adjective": ["mua sắm"], "verb": ["mua sắm"]}
broke	{"adjective": ["cháy túi", "phá sản"], "verb": ["làm vỡ", "phá vỡ"]}
neutron	{"noun": ["nơtron"]}
minced	{"adjective": ["băm nhỏ", "xay nhỏ"], "verb": ["băm nhỏ", "xay nhỏ"]}
stairway	{"noun": ["cầu thang"]}
taking	{"noun": ["sự lấy", "sự chiếm", "sự thu"], "verb": ["lấy", "cầm", "chiếm"]}
fir	{"noun": ["cây linh sam"]}
excavate	{"verb": ["khai quật", "đào bới"]}
intrude	{"verb": ["xâm nhập", "xâm phạm", "xâm lấn"]}
metric	{"adjective": ["thuộc hệ mét"], "noun": ["hệ mét", "số liệu"]}
mapping	{"noun": ["sự lập bản đồ", "việc ánh xạ"], "verb": ["lập bản đồ", "ánh xạ"]}
holler	{"verb": ["hét", "la hét"], "noun": ["tiếng hét", "tiếng la"]}
hip-hop	{"noun": ["nhạc hip hop", "văn hóa hip hop"], "adjective": ["thuộc hip hop"]}
hearty	{"adjective": ["nồng nhiệt", "chân thành", "thịnh soạn"]}
cerebral	{"adjective": ["thuộc về não", "trí tuệ"]}
cornerback	{"noun": ["hậu vệ biên (bóng đá Mỹ)"]}
retarded	{"adjective": ["chậm phát triển", "bị thiểu năng"], "verb": ["làm chậm lại", "cản trở"]}
three-day	{"adjective": ["ba ngày"]}
modernism	{"noun": ["chủ nghĩa hiện đại"]}
crocodile	{"noun": ["cá sấu"]}
cider	{"noun": ["rượu táo"]}
symmetry	{"noun": ["tính đối xứng", "sự cân đối"]}
earthly	{"adjective": ["trần tục", "thuộc về trái đất"]}
finalist	{"noun": ["người vào chung kết", "thí sinh chung kết"]}
innate	{"adjective": ["bẩm sinh", "vốn có"]}
cost-effective	{"adjective": ["hiệu quả về chi phí", "tiết kiệm chi phí"]}
dearly	{"adverb": ["hết lòng", "sâu sắc", "đắt đỏ"]}
dope	{"noun": ["ma túy", "chất gây nghiện", "người ngốc nghếch"], "verb": ["cho dùng ma túy", "gây mê"]}
parishioner	{"noun": ["giáo dân", "người trong giáo xứ"]}
snail	{"noun": ["ốc sên"]}
zeal	{"noun": ["lòng nhiệt thành", "sự hăng hái"]}
rejoin	{"verb": ["tái gia nhập", "đoàn tụ"]}
decipher	{"verb": ["giải mã", "giải thích", "đọc được"]}
exemplary	{"adjective": ["gương mẫu", "mẫu mực"]}
electronically	{"adverb": ["bằng điện tử"]}
osteoporosis	{"noun": ["bệnh loãng xương"]}
shattered	{"adjective": ["tan vỡ", "vỡ vụn", "kiệt sức"], "verb": ["làm tan vỡ", "làm vỡ vụn"]}
deplete	{"verb": ["làm cạn kiệt", "làm suy giảm"]}
martini	{"noun": ["rượu martini"]}
perverse	{"adjective": ["ngoan cố", "đồi bại", "ngang ngược"]}
acoustic	{"adjective": ["thuộc âm thanh", "âm học"], "noun": ["âm học"]}
proficiency	{"noun": ["sự thành thạo", "sự giỏi giang"]}
favorably	{"adverb": ["thuận lợi", "ưu ái", "có thiện cảm"]}
standoff	{"noun": ["sự bế tắc", "sự đối đầu"]}
coronary	{"adjective": ["thuộc mạch vành"], "noun": ["mạch vành"]}
obsessive	{"adjective": ["ám ảnh", "mắc chứng ám ảnh"]}
rhyme	{"noun": ["vần", "thơ có vần"], "verb": ["gieo vần", "có vần"]}
sincerely	{"adverb": ["một cách chân thành", "thật lòng"]}
analogous	{"adjective": ["tương tự", "tương đồng"]}
colombian	{"adjective": ["thuộc Colombia"], "noun": ["người Colombia"]}
legion	{"noun": ["quân đoàn", "đội quân", "đám đông"]}
patriarchal	{"adjective": ["gia trưởng", "thuộc chế độ phụ hệ"]}
gait	{"noun": ["dáng đi", "bước đi"]}
euro	{"noun": ["đồng euro"]}
gleam	{"noun": ["ánh sáng yếu ớt", "tia sáng"], "verb": ["lóe lên", "tỏa sáng"]}
accreditation	{"noun": ["sự công nhận", "sự kiểm định"]}
kosher	{"adjective": ["hợp quy chuẩn (thực phẩm Do Thái)", "hợp lệ"], "noun": ["thực phẩm kosher"]}
caravan	{"noun": ["đoàn lữ hành", "đoàn xe", "xe nhà di động"]}
unresolved	{"adjective": ["chưa được giải quyết", "còn dang dở"]}
locked	{"adjective": ["bị khóa", "khóa chặt"], "verb": ["khóa", "giam giữ"]}
gambler	{"noun": ["người đánh bạc"]}
sect	{"noun": ["giáo phái", "phe phái"]}
sectarian	{"adjective": ["thuộc giáo phái", "phe phái"], "noun": ["người thuộc giáo phái"]}
resurrection	{"noun": ["sự phục sinh", "sự sống lại"]}
brittle	{"adjective": ["giòn", "dễ vỡ", "khó chịu"]}
adept	{"adjective": ["thành thạo", "giỏi"], "noun": ["người thành thạo"]}
handmade	{"adjective": ["làm bằng tay", "thủ công"]}
handicapped	{"adjective": ["tàn tật", "khuyết tật"], "verb": ["gây bất lợi", "làm trở ngại"]}
babe	{"noun": ["em bé", "người đẹp", "người ngây thơ"]}
foray	{"noun": ["cuộc đột kích", "cuộc thám hiểm"], "verb": ["đột kích", "thám hiểm"]}
torque	{"noun": ["mô-men xoắn"], "verb": ["tạo mô-men xoắn"]}
outdated	{"adjective": ["lỗi thời", "cũ kỹ"]}
fragmented	{"adjective": ["bị phân mảnh", "rời rạc"], "verb": ["làm phân mảnh"]}
coastline	{"noun": ["đường bờ biển", "bờ biển"]}
cloudy	{"adjective": ["nhiều mây", "âm u", "mờ đục"]}
thrift	{"noun": ["sự tiết kiệm", "tính cần kiệm"]}
necessitate	{"verb": ["đòi hỏi", "cần thiết", "bắt buộc"]}
installment	{"noun": ["trả góp", "phần trả góp", "lần trả"]}
daycare	{"noun": ["nhà trẻ", "trung tâm giữ trẻ"]}
precipitate	{"verb": ["gây ra", "thúc đẩy", "kết tủa"], "adjective": ["vội vàng", "hấp tấp"], "noun": ["chất kết tủa"]}
subsistence	{"noun": ["sự sinh tồn", "mức sống tối thiểu"]}
subtract	{"verb": ["trừ đi", "khấu trừ"]}
nourish	{"verb": ["nuôi dưỡng", "bồi dưỡng"]}
slug	{"noun": ["con sên", "viên đạn", "người lười biếng"], "verb": ["đánh mạnh", "lười biếng"]}
first-round	{"adjective": ["vòng đầu tiên"]}
ho	{"interjection": ["hô", "hò reo"]}
understandably	{"adverb": ["một cách dễ hiểu", "có thể hiểu được"]}
likeness	{"noun": ["sự giống nhau", "hình ảnh", "chân dung"]}
strategically	{"adverb": ["một cách chiến lược"]}
scold	{"verb": ["mắng mỏ", "quở trách"], "noun": ["người hay mắng mỏ"]}
hysteria	{"noun": ["chứng cuồng loạn", "sự kích động quá mức"]}
upbringing	{"noun": ["sự giáo dục", "sự nuôi dưỡng"]}
sixteenth	{"adjective": ["thứ mười sáu"], "noun": ["thứ mười sáu"]}
intolerance	{"noun": ["sự không khoan dung", "tính không khoan dung"]}
drinker	{"noun": ["người uống rượu", "người nghiện rượu"]}
festivity	{"noun": ["sự vui vẻ", "lễ hội", "cuộc liên hoan"]}
reflex	{"noun": ["phản xạ"], "adjective": ["phản xạ"]}
rebuilding	{"noun": ["sự xây dựng lại", "việc tái thiết"], "verb": ["xây dựng lại", "tái thiết"]}
barrage	{"noun": ["hàng rào", "trận mưa đạn", "sự tấn công dồn dập"], "verb": ["tấn công dồn dập"]}
inspiring	{"adjective": ["truyền cảm hứng", "gây cảm hứng"], "verb": ["truyền cảm hứng"]}
slowdown	{"noun": ["sự chậm lại", "sự suy giảm"], "verb": ["chậm lại", "suy giảm"]}
conglomerate	{"noun": ["tập đoàn", "khối kết tụ"], "adjective": ["kết tụ", "tập đoàn"], "verb": ["kết tụ", "tập hợp"]}
ivy	{"noun": ["cây thường xuân"]}
rust	{"noun": ["gỉ sắt", "sự han gỉ"], "verb": ["bị gỉ", "làm gỉ"]}
cheerleader	{"noun": ["đội trưởng cổ vũ", "người cổ vũ"]}
township	{"noun": ["thị trấn", "xã"]}
insulate	{"verb": ["cách nhiệt", "cách điện", "cô lập"]}
honorary	{"adjective": ["danh dự", "vinh dự"]}
disproportionate	{"adjective": ["không cân xứng", "tỷ lệ không đều"]}
consolation	{"noun": ["sự an ủi", "điều an ủi"]}
dissatisfied	{"adjective": ["không hài lòng", "bất mãn"]}
operative	{"adjective": ["có hiệu lực", "đang hoạt động", "thuộc về phẫu thuật"], "noun": ["công nhân", "nhân viên", "điệp viên"]}
all-american	{"adjective": ["toàn nước Mỹ", "đặc trưng Mỹ"], "noun": ["người Mỹ tiêu biểu"]}
transmitter	{"noun": ["máy phát", "bộ truyền"]}
bailout	{"noun": ["sự giải cứu tài chính", "gói cứu trợ"]}
ion	{"noun": ["ion"]}
hacker	{"noun": ["tin tặc", "người xâm nhập máy tính"]}
curricular	{"adjective": ["thuộc chương trình học"]}
anthology	{"noun": ["tuyển tập", "hợp tuyển"]}
vacancy	{"noun": ["chỗ trống", "vị trí trống", "sự trống rỗng"]}
imprint	{"noun": ["dấu ấn", "ấn tượng", "nhãn hiệu"], "verb": ["in dấu", "khắc sâu", "ghi nhớ"]}
supplemental	{"adjective": ["bổ sung", "thêm vào"]}
audition	{"noun": ["buổi thử giọng", "buổi thử vai"], "verb": ["thử giọng", "thử vai"]}
receptionist	{"noun": ["nhân viên lễ tân"]}
sealed	{"adjective": ["niêm phong", "kín", "được đóng kín"], "verb": ["niêm phong", "đóng kín"]}
addictive	{"adjective": ["gây nghiện", "có tính gây nghiện"]}
unbearable	{"adjective": ["không thể chịu đựng được", "khó chịu đựng"]}
portuguese	{"adjective": ["thuộc Bồ Đào Nha", "tiếng Bồ Đào Nha"], "noun": ["người Bồ Đào Nha", "tiếng Bồ Đào Nha"]}
notoriously	{"adverb": ["khét tiếng", "tai tiếng"]}
packing	{"noun": ["sự đóng gói", "vật liệu đóng gói"], "verb": ["đóng gói"]}
projector	{"noun": ["máy chiếu"]}
two-story	{"adjective": ["hai tầng"]}
wares	{"noun": ["hàng hóa", "đồ dùng"]}
polymer	{"noun": ["polyme"]}
prehistoric	{"adjective": ["tiền sử", "thời tiền sử"]}
eloquent	{"adjective": ["hùng hồn", "lưu loát", "có sức thuyết phục"]}
nicotine	{"noun": ["nicotin"]}
globally	{"adverb": ["trên toàn cầu", "khắp thế giới"]}
nongovernmental	{"adjective": ["phi chính phủ"]}
regiment	{"noun": ["trung đoàn", "chế độ"], "verb": ["tổ chức", "quản lý chặt chẽ"]}
ascent	{"noun": ["sự lên", "sự leo lên", "dốc lên"]}
time-consuming	{"adjective": ["tốn thời gian"]}
apricot	{"noun": ["quả mơ"]}
quaint	{"adjective": ["cổ kính", "lạ mắt", "duyên dáng"]}
seedling	{"noun": ["cây non", "cây giống"]}
herring	{"noun": ["cá trích"]}
nigger	{"noun": ["từ phân biệt chủng tộc đối với người da đen"]}
tofu	{"noun": ["đậu phụ"]}
thirsty	{"adjective": ["khát", "thèm khát"]}
federation	{"noun": ["liên đoàn", "liên bang"]}
anecdotal	{"adjective": ["dựa trên giai thoại", "mang tính giai thoại"]}
tapestry	{"noun": ["tấm thảm", "bức thảm"]}
skid	{"noun": ["sự trượt", "vết trượt"], "verb": ["trượt", "làm trượt"]}
smoked	{"adjective": ["hun khói", "đã hút"], "verb": ["hun khói", "hút thuốc"]}
hospice	{"noun": ["nhà tế bần", "bệnh viện chăm sóc cuối đời"]}
adjective	{"noun": ["tính từ"]}
oasis	{"noun": ["ốc đảo", "nơi ẩn náu"]}
brilliance	{"noun": ["sự rực rỡ", "sự thông minh", "tài năng"]}
scarlet	{"adjective": ["đỏ tươi", "đỏ thắm"], "noun": ["màu đỏ tươi"]}
aquarium	{"noun": ["bể cá", "thủy cung"]}
misfortune	{"noun": ["điều bất hạnh", "sự rủi ro", "tai họa"]}
hostess	{"noun": ["nữ chủ nhà", "tiếp viên"]}
abuser	{"noun": ["kẻ lạm dụng", "người ngược đãi"]}
inception	{"noun": ["sự khởi đầu", "sự bắt đầu"]}
clad	{"adjective": ["mặc", "bao phủ"], "verb": ["mặc", "bao phủ"]}
reverence	{"noun": ["sự tôn kính", "sự sùng kính"], "verb": ["tôn kính", "sùng kính"]}
winery	{"noun": ["nhà máy rượu", "xưởng rượu"]}
telling	{"adjective": ["có sức thuyết phục", "hiệu quả", "quan trọng"], "noun": ["sự kể", "sự tiết lộ"], "verb": ["kể", "nói"]}
balk	{"verb": ["ngần ngại", "chần chừ", "cản trở"], "noun": ["sự cản trở", "sự thất bại"]}
beta	{"noun": ["beta (chữ cái Hy Lạp)", "phiên bản thử nghiệm"], "adjective": ["thử nghiệm"]}
monstrous	{"adjective": ["quái dị", "ghê tởm", "to lớn"]}
obese	{"adjective": ["béo phì"]}
thoughtfully	{"adverb": ["một cách chu đáo", "trầm ngâm"]}
lecturer	{"noun": ["giảng viên"]}
profess	{"verb": ["tuyên bố", "thừa nhận", "tự xưng"]}
unintended	{"adjective": ["không cố ý", "ngoài ý muốn"]}
jihad	{"noun": ["thánh chiến"]}
moratorium	{"noun": ["lệnh cấm tạm thời", "sự đình chỉ"]}
estimation	{"noun": ["sự ước tính", "sự đánh giá", "sự kính trọng"]}
headnote	{"noun": ["ghi chú đầu trang"]}
sprig	{"noun": ["nhánh cây", "cành cây"]}
brother-in-law	{"noun": ["anh rể", "em rể"]}
pharmacist	{"noun": ["dược sĩ"]}
monologue	{"noun": ["độc thoại"]}
feud	{"noun": ["mối thù", "sự tranh chấp"], "verb": ["gây thù", "tranh chấp"]}
convertible	{"adjective": ["có thể chuyển đổi", "mui trần"], "noun": ["xe mui trần"]}
embryonic	{"adjective": ["thuộc phôi", "sơ khai"]}
casserole	{"noun": ["món hầm", "nồi hầm"]}
audible	{"adjective": ["có thể nghe được", "nghe rõ"]}
beaten	{"adjective": ["bị đánh bại", "bị đánh đập", "đã đánh"], "verb": ["đánh bại", "đánh đập"]}
disgrace	{"noun": ["sự ô nhục", "sự mất thể diện"], "verb": ["làm ô nhục", "làm mất thể diện"]}
resurgence	{"noun": ["sự trỗi dậy", "sự phục hồi"]}
rosemary	{"noun": ["cây hương thảo"]}
squirm	{"verb": ["ngọ nguậy", "quằn quại", "vặn vẹo"]}
grad	{"noun": ["sinh viên tốt nghiệp", "người có bằng cấp"]}
pixel	{"noun": ["điểm ảnh"]}
fledgling	{"noun": ["người mới vào nghề", "chim non"], "adjective": ["non nớt", "mới bắt đầu"]}
year-old	{"adjective": ["tuổi", "một tuổi"]}
brilliantly	{"adverb": ["rực rỡ", "xuất sắc", "tuyệt vời"]}
pantry	{"noun": ["tủ đựng thức ăn", "phòng đựng thức ăn"]}
anew	{"adverb": ["lại", "mới", "một lần nữa"]}
fuse	{"noun": ["cầu chì", "ngòi nổ"], "verb": ["hợp nhất", "nối lại", "nấu chảy"]}
fabricate	{"verb": ["bịa đặt", "chế tạo", "xây dựng"]}
sow	{"verb": ["gieo", "gieo rắc"], "noun": ["lợn nái"]}
modernize	{"verb": ["hiện đại hóa"]}
disapproval	{"noun": ["sự không tán thành", "sự phản đối"]}
tendon	{"noun": ["gân"]}
avocado	{"noun": ["quả bơ"]}
getaway	{"noun": ["sự trốn thoát", "chuyến đi nghỉ ngắn ngày"]}
plaid	{"noun": ["vải kẻ ô vuông"], "adjective": ["kẻ ô vuông"]}
complexion	{"noun": ["nước da", "diện mạo"]}
wrench	{"noun": ["cờ lê"], "verb": ["giật mạnh", "vặn"]}
sublime	{"adjective": ["cao cả", "tuyệt vời", "hùng vĩ"]}
trusted	{"adjective": ["đáng tin cậy", "được tin tưởng"]}
collateral	{"noun": ["tài sản thế chấp"], "adjective": ["phụ", "thứ yếu"]}
stoop	{"verb": ["cúi xuống", "khom người"], "noun": ["sự cúi xuống", "thềm nhà"]}
unused	{"adjective": ["chưa dùng", "không dùng đến"]}
ecstatic	{"adjective": ["vô cùng vui sướng", "ngây ngất"]}
waive	{"verb": ["từ bỏ", "khước từ", "miễn"]}
paramedic	{"noun": ["nhân viên y tế"]}
thaw	{"verb": ["tan băng", "làm tan", "làm dịu đi"], "noun": ["sự tan băng"]}
aye	{"noun": ["sự đồng ý", "phiếu thuận"], "adverb": ["vâng", "có"]}
disintegrate	{"verb": ["tan rã", "phân hủy", "vỡ vụn"]}
hardy	{"adjective": ["cứng cáp", "khỏe mạnh", "chịu đựng giỏi"]}
obliterate	{"verb": ["xóa sạch", "xóa bỏ", "phá hủy"]}
infiltrate	{"verb": ["xâm nhập", "thâm nhập", "len lỏi"]}
decency	{"noun": ["sự lịch sự", "sự đứng đắn", "sự tử tế"]}
brandy	{"noun": ["rượu mạnh"]}
notwithstanding	{"preposition": ["mặc dù", "bất chấp"], "adverb": ["tuy nhiên"]}
forestry	{"noun": ["lâm nghiệp"]}
rover	{"noun": ["người lang thang", "xe tự hành"]}
internship	{"noun": ["thực tập"]}
enlightened	{"adjective": ["giác ngộ", "sáng suốt", "văn minh"]}
extravagant	{"adjective": ["xa hoa", "phung phí", "lãng phí"]}
testosterone	{"noun": ["testosterone"]}
belgian	{"adjective": ["thuộc Bỉ"], "noun": ["người Bỉ"]}
chatter	{"verb": ["tán gẫu", "luyên thuyên", "lách tách"], "noun": ["tiếng lách tách", "chuyện tầm phào"]}
predictive	{"adjective": ["có tính dự đoán"]}
interrogate	{"verb": ["thẩm vấn", "hỏi cung"]}
grieving	{"adjective": ["đau buồn", "đau khổ"]}
accessibility	{"noun": ["khả năng tiếp cận", "tính dễ dàng tiếp cận"]}
stat	{"noun": ["số liệu thống kê", "số liệu"], "adverb": ["ngay lập tức"]}
inflammatory	{"adjective": ["gây viêm", "kích động", "dễ gây phẫn nộ"]}
visitation	{"noun": ["sự viếng thăm", "cuộc thăm viếng"]}
hypertension	{"noun": ["tăng huyết áp"]}
conceivable	{"adjective": ["có thể hình dung được", "có thể hiểu được"]}
zucchini	{"noun": ["bí ngòi"]}
entrust	{"verb": ["giao phó", "ủy thác"]}
taut	{"adjective": ["căng thẳng", "căng ra", "chặt chẽ"]}
exploratory	{"adjective": ["thăm dò", "khảo sát", "nghiên cứu"]}
incremental	{"adjective": ["tăng dần", "từng bước"]}
cutback	{"noun": ["sự cắt giảm", "sự thu hẹp"]}
present-day	{"adjective": ["hiện nay", "ngày nay"]}
remedial	{"adjective": ["khắc phục", "bồi dưỡng", "chữa bệnh"]}
detach	{"verb": ["tách rời", "tháo ra", "gỡ ra"]}
biopsy	{"noun": ["sinh thiết"]}
brew	{"verb": ["ủ (bia)", "pha (trà)", "nấu"], "noun": ["đồ uống", "mẻ bia"]}
sacrament	{"noun": ["bí tích"]}
gymnastics	{"noun": ["thể dục dụng cụ"]}
reorganization	{"noun": ["sự tái tổ chức"]}
clientele	{"noun": ["khách hàng", "giới khách hàng"]}
endowment	{"noun": ["tài trợ", "của hồi môn", "năng khiếu"]}
biomass	{"noun": ["sinh khối"]}
zipper	{"noun": ["dây kéo", "khóa kéo"]}
adrenaline	{"noun": ["adrenaline"]}
mediocre	{"adjective": ["tầm thường", "xoàng xĩnh"]}
heartland	{"noun": ["vùng trung tâm", "vùng nông thôn", "quê hương"]}
sparse	{"adjective": ["thưa thớt", "rải rác", "lơ thơ"]}
completed	{"adjective": ["hoàn thành", "xong xuôi"]}
narrate	{"verb": ["kể chuyện", "tường thuật", "dẫn chuyện"]}
snore	{"verb": ["ngáy"], "noun": ["tiếng ngáy"]}
beacon	{"noun": ["đèn hiệu", "hải đăng", "ngọn đuốc"]}
speck	{"noun": ["vết", "đốm", "mảnh nhỏ"]}
zinc	{"noun": ["kẽm"]}
tattered	{"adjective": ["rách tả tơi", "tơi tả"]}
cellphone	{"noun": ["điện thoại di động"]}
rendition	{"noun": ["sự trình diễn", "bản dịch", "sự diễn giải"]}
saloon	{"noun": ["quán rượu", "phòng khách", "xe ô tô"]}
pleasantly	{"adverb": ["dễ chịu", "vui vẻ", "thú vị"]}
preseason	{"noun": ["giai đoạn tiền mùa giải"], "adjective": ["trước mùa giải"]}
unanimously	{"adverb": ["nhất trí", "đồng lòng"]}
curfew	{"noun": ["lệnh giới nghiêm"]}
